13402009B96470190ARIADNA PRUEBAS N-SIMAS.L.              T961850985CONTACT-MAN PEREZ                       3402009010001  00000000000001T000000020 00000000002432447 00000000000385491 00000000002817938                                                                                                                                                                                                                                                                                                            
23402009B96470190B44005106         INVERCAVES.L.                           ES1                    E 200901152009011501600 0000000100000 0000000016000 0000000116000 0000000000000A00000001                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B1234             LA L'ELI                                ES1                    E 200901152009011501600 0000000100000 0000000016000 0000000116000 0000000000000A00000002                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190F46026621         AGRO-CITRICA DE PICASSENT               ES1                    E 200901152009011500400 0000000015023 0000000000601 0000000015624 0000000000000A00000003                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B46001616         LA CONCEPCION S.L. Ç Ñ                  ES1                    E 200901152009011501600 0000000010000 0000000001600 0000000011600 0000000000000A00000004                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B1234             LA L'ELI                                ES1                    E 200901202009012000700 0000000012345 0000000000864 0000000013209 0000000000000A00000005                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190F46026621         AGRO-CITRICA DE PICASSENT               ES1                    E 200901202009012001600 0000000100000 0000000016000 0000000116000 0000000000000A00000006                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190                  M.ANGELES ALBARRACIN                    DK2DK198852421         E 200901212009012101600 0000000100000 0000000016000 0000000116000 0000000000000A00000007                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B46001616         LA CONCEPCION S.L. Ç Ñ                  ES1                    E 200902092009020901600 0000001265420 0000000202467 0000001467887 0000000000000A00000008                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190                  M.ANGELES ALBARRACIN                    DK2DK198852421         E 200901282009012801600N0000000001526N0000000000244N0000000001770 0000000000000A00000009                               0                 0000000101                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B1234             LA L'ELI                                ES1                    EC200901142009011400400 0000000005098 0000000000204 0000000005302 0000000000000A02700288                               0                 0000000103                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B1234             LA L'ELI                                ES1                    EC200901142009011400700 0000000001946 0000000000136 0000000002082 0000000000000A02700288                               0                 0000000103                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B1234             LA L'ELI                                ES1                    EC200901142009011401600 0000000004825 0000000000772 0000000005597 0000000000000A02700288                               0                 0000000103                                                                                                                        00000 0000000000000                                                                                                                    
23402009B96470190B96344791         ESCRIBANO LEVANTE S.L.                  ES1                    R 200901262009012601600 0000000010000 0000000001600 0000000011600 000000000000000000                                   0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
23402009B96470190B46480067         BEEP VALENCIA IV S.L.                   ES1                    R 200901262009012601600 0000000100000 0000000016000 0000000116000 0000000000000022213                                  0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
23402009B96470190                  ANPER ELECTRICIDAD                      BE2BEADSADS            R 200902112009021101600 0000000045000 0000000007200 0000000052200 00000000000000223566658                              0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
23402009B9647019037302356J         ELECTRONICA BURRIANA                    ES1                    R 200901272009012701600 0000000254316 0000000040691 0000000295007 00000000000001255                                    0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
23402009B96470190B96482377         GLOBAL COMPUTER                         ES1                    R 200901152009011501600 0000000060000 0000000009600 0000000069600 000000000000055545                                   0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
23402009B96470190B96344791         ESCRIBANO LEVANTE S.L.                  ES1                    R 200901152009011501600 0000000090000 0000000014400 0000000104400 0000000000000ASDADASD                                0                 00000000000000000101                                                                                 0000000000000                                                                                                                                                       
